 ================================================================================
                               TOYGENERATOR HISTOGRAMS                                       
 ================================================================================
 
   ISR generation using seed = 5235 at center of mass energy = 1.00 GeV
 
 
 ****************************************************************
 
 p modulus mu-
      binlow         binhigh         content           error
      55.800          57.600           0.000           0.000
      57.600          59.400           0.000           0.000
      59.400          61.200           0.000           0.000
      61.200          63.000           0.000           0.000
      63.000          64.800           0.000           0.000
      64.800          66.600           0.000           0.000
      66.600          68.400           0.000           0.000
      68.400          70.200           0.000           0.000
      70.200          72.000           0.000           0.000
      72.000          73.800           0.000           0.000
      73.800          75.600           0.000           0.000
      75.600          77.400           0.000           0.000
      77.400          79.200           0.000           0.000
      79.200          81.000           0.000           0.000
      81.000          82.800           0.000           0.000
      82.800          84.600           0.000           0.000
      84.600          86.400           0.000           0.000
      86.400          88.200           0.000           0.000
      88.200          90.000           0.000           0.000
      90.000          91.800           0.000           0.000
      91.800          93.600           0.000           0.000
      93.600          95.400           0.000           0.000
      95.400          97.200           0.000           0.000
      97.200          99.000           0.000           0.000
      99.000         100.800           0.014           0.002
     100.800         102.600           0.027           0.003
     102.600         104.400           0.025           0.003
     104.400         106.200           0.028           0.003
     106.200         108.000           0.025           0.003
     108.000         109.800           0.026           0.003
     109.800         111.600           0.030           0.003
     111.600         113.400           0.022           0.003
     113.400         115.200           0.026           0.003
     115.200         117.000           0.026           0.003
     117.000         118.800           0.022           0.003
     118.800         120.600           0.028           0.003
     120.600         122.400           0.022           0.003
     122.400         124.200           0.024           0.003
     124.200         126.000           0.026           0.003
     126.000         127.800           0.030           0.003
     127.800         129.600           0.028           0.003
     129.600         131.400           0.022           0.003
     131.400         133.200           0.020           0.003
     133.200         135.000           0.025           0.003
     135.000         136.800           0.030           0.003
     136.800         138.600           0.029           0.003
     138.600         140.400           0.033           0.004
     140.400         142.200           0.031           0.004
     142.200         144.000           0.028           0.003
     144.000         145.800           0.024           0.003
     145.800         147.600           0.028           0.003
     147.600         149.400           0.034           0.004
     149.400         151.200           0.029           0.003
     151.200         153.000           0.036           0.004
     153.000         154.800           0.028           0.003
